gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,Yes,No,72,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.68,776.7809855140122,No
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.58,8684.8,No
Male,1,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,64.0,2141.8073909631016,No
Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.67,18.8,No
Female,0,No,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.53,1792.3652855238165,Yes
Male,0,No,Yes,10,Yes,Yes,No,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),30.6,18.8,No
Male,0,No,Yes,37,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),29.65,2034.8284715139384,No
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.92,18.8,No
Male,0,Yes,Yes,72,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.75,88.51153504220065,No
Male,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,69.0,642.700688742391,Yes
Male,0,No,No,10,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,116.88,6322.635467830843,Yes
Female,0,Yes,No,72,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),21.01,2124.5495909059555,No
Male,0,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),118.75,2050.551485242756,Yes
Male,0,Yes,Yes,53,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),31.04,451.77616725869234,No
Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No,No,No internet service,No internet service,Two year,No,Mailed check,28.08,28.05221632998206,No
Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.53,3221.1848920837065,No
Male,0,No,No,0,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),28.34,18.8,No
Male,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.06,18.8,No
Male,1,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.59,6604.608792260237,No
Female,0,Yes,Yes,27,Yes,No,No,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),90.07,55.33285749030246,No
Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.94,2320.866006374653,Yes
Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.21,1336.0831227632102,No
Female,1,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,118.75,8684.8,No
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.97,18.8,No
